client_identifier,bitcoin_address,credit_card_type,email,country
18,1ErM8yuF3ytzzxLy1uPvQuRveLBygxN15x,china-unionpay,rdrinanh@odnoklassniki.ru,United Kingdom
32,12sxmYnPcADAXw1YkxdapRsft2PwHZke7A,maestro,wbamfordv@t-online.de,United Kingdom
33,1GZ7QB7GUFSWnkBHmsj4C4EZYMWni6BVn4,mastercard,swestallw@blinklist.com,United Kingdom
34,12o8zrHx6snCPbtkoD9im4ozBtNkHRjeRV,visa-electron,erosengrenx@usatoday.com,United Kingdom
36,15X53Z9B9jUNrvFpbr7D554uSc5RL7Pnkg,diners-club-international,dbuckthorpz@tmall.com,Netherlands
62,16qpYVt6YAAx4JYjzbA8SwTUHoTyB4twRF,jcb,bbarham1p@wisc.edu,Netherlands
67,12ya1ED93ApPBQRSCuqiehip8KfPEzXYaj,bankcard,lbeavors1u@technorati.com,United Kingdom
70,1F8zXTEaf4AFpztMNzQZfo5NUreptaArTD,mastercard,fdresse1x@bloglines.com,United Kingdom
91,19MZSy1H8S4SaXsmSc3n7AaL2GxQkQkEZx,diners-club-carte-blanche,aeplate2i@webeden.co.uk,United Kingdom
105,13j6FKzrLgumLUqeYH4baeY5qZgiwGW5UC,jcb,linfante2w@telegraph.co.uk,Netherlands
108,1RcsodKknm8thkCL6F4Vcmo7f4A7r6ydj,maestro,rpartkya2z@cdc.gov,Netherlands
109,1HxV2jkyM3PXbsH4qGsVX3hwcAb4SMi4AD,jcb,mdory30@uiuc.edu,Netherlands
110,15cRJ4mzZd4Vgd33xbVjEtYw9c6f1WfGkC,china-unionpay,rswindle31@tmall.com,Netherlands
124,1CB7AdhTFBXmxuABm58yKmCmsvVqDjT9P1,maestro,wdarco3f@geocities.com,Netherlands
128,16DbYq1KR8DVSQu5E9WU9ohuofBm5AHB2Q,diners-club-enroute,vnapthine3j@ning.com,Netherlands
165,1KgbP1KXt5xs2sBLudwt7SZM14NZXN2yNd,jcb,hheinecke4k@altervista.org,Netherlands
177,1AJzqEgbbFh2TNLFZrWp1XgCY16gQQ3pBe,americanexpress,awissbey4w@geocities.jp,United Kingdom
189,1PktCHyic9G4aZu15Dd3N1PUf45wW4MmFs,jcb,etsar58@ovh.net,Netherlands
194,12KTfvJwTfnJn3dFtZ8KaLycn5noXetTFo,jcb,igreated5d@live.com,Netherlands
197,1Q6UV84patYXfzEdAabyanzRe4cpNHdfkC,diners-club-enroute,pvolette5g@ask.com,United Kingdom
199,1GYuD7hkkRkCeVcx9tMXzQ1LwfAUcHUQfN,jcb,esurcombe5i@bigcartel.com,United Kingdom
239,19KrAve717pGFqYLiQvw63yV3Ar6XabJhD,mastercard,hgolley6m@nydailynews.com,Netherlands
248,16WS73NGVmHfpuWqPkEjN9pirzG9qkgvPJ,americanexpress,mbrewer6v@facebook.com,Netherlands
